Type,Head_Size,Teeth_Size,Dinosaur_Length,Weight,Gender,Class
Triceratops,2.07,18.38,6.44,7265.82,Male,3
Triceratops,2.02,24.09,7.81,6985.98,Female,3
Spinosaurus,1.46,11.99,13.31,8844.19,Male,2
TREX,1.43,17.77,11.6,6860.85,Female,1
TREX,1.62,22.14,9.25,6312.98,Female,1
TREX,1.71,19.68,12.37,6039.59,Female,1
Triceratops,1.81,19.2,5.7,7410.75,Male,3
Triceratops,1.89,13.65,7.72,6808.78,Male,3
Spinosaurus,1.44,15.14,13.94,9205.41,Female,2
Triceratops,2.03,14.22,7.28,7202.56,Female,3
TREX,1.71,15.78,11.21,6798.69,Female,1
TREX,1.56,21.0,10.52,5619.95,Male,1
Spinosaurus,1.36,14.9,11.88,7930.9,Male,2
Triceratops,2.12,13.98,8.97,7124.03,Male,3
Triceratops,1.99,14.92,7.8,7452.33,Male,3
TREX,1.6,20.48,11.09,6647.83,Female,1
Triceratops,1.93,21.62,7.93,7717.13,Female,3
TREX,1.57,26.91,10.84,7955.1,Female,1
Triceratops,2.08,22.23,8.29,6673.19,Male,3
Spinosaurus,1.32,13.2,13.46,8549.29,Male,2
Triceratops,1.97,17.98,7.91,8166.88,Female,3
TREX,1.51,20.57,12.48,5972.39,Female,1
Spinosaurus,1.42,13.37,12.42,10412.1,Male,2
TREX,1.59,21.72,11.08,5661.66,Male,1
Spinosaurus,1.59,14.92,14.39,9480.23,Male,2
Triceratops,1.97,17.24,8.39,7363.58,Female,3
TREX,1.53,20.59,12.68,6381.75,Male,1
TREX,1.52,16.54,10.25,6383.2,Female,1
TREX,1.54,17.81,11.42,5789.81,Male,1
Triceratops,1.95,23.74,7.85,7098.69,Female,3
Triceratops,2.06,14.52,6.94,7404.06,Female,3
Spinosaurus,1.62,15.8,12.59,8834.16,Female,2
TREX,1.62,19.53,9.36,6996.62,Male,1
TREX,1.38,20.93,9.85,6435.84,Male,1
TREX,1.25,22.14,10.63,7267.22,Female,1
TREX,1.66,24.81,11.7,7000.73,Female,1
TREX,1.31,18.48,11.01,7606.72,Male,1
Triceratops,2.16,21.77,5.21,7153.27,Female,3
TREX,1.4,22.13,9.71,6813.14,Female,1
TREX,1.48,21.12,10.01,7432.46,Male,1
TREX,1.35,19.78,10.18,6637.84,Male,1
Triceratops,1.89,18.26,6.94,7113.97,Female,3
Spinosaurus,1.7,13.82,12.64,7874.05,Male,2
Spinosaurus,1.51,14.14,13.02,9549.67,Female,2
TREX,1.36,21.57,11.1,6154.21,Male,1
TREX,1.62,19.77,9.48,6357.86,Female,1
TREX,1.3,25.28,12.48,5599.77,Male,1
TREX,1.58,23.09,10.12,7384.66,Male,1
TREX,1.52,21.63,12.16,6244.61,Female,1
Spinosaurus,1.55,12.44,12.94,8996.52,Male,2
Triceratops,1.94,17.24,8.79,7859.25,Male,3
TREX,1.36,19.06,9.4,6915.86,Female,1
Triceratops,1.8,13.53,9.19,8376.6,Male,3
Triceratops,1.81,16.08,6.64,8024.36,Male,3
TREX,1.55,20.81,10.99,7539.91,Female,1
TREX,1.55,25.57,9.86,7778.32,Male,1
TREX,1.53,24.53,9.9,6614.08,Female,1
Spinosaurus,1.46,18.8,11.39,7407.99,Male,2
TREX,1.39,15.6,11.18,7720.07,Female,1
Spinosaurus,1.37,17.68,13.09,9625.23,Female,2
Spinosaurus,1.49,14.39,12.98,8867.32,Female,2
TREX,1.61,12.13,10.08,6152.56,Female,1
Spinosaurus,1.44,19.1,13.17,8495.63,Male,2
TREX,1.44,15.95,11.53,4843.73,Female,1
Spinosaurus,1.72,16.74,11.85,8784.43,Female,2
TREX,1.4,14.27,11.33,7215.31,Female,1
Spinosaurus,1.55,16.64,12.88,10128.0,Male,2
TREX,1.49,22.76,9.11,7006.7,Male,1
Triceratops,1.93,21.18,7.68,8179.06,Female,3
TREX,1.49,17.79,10.98,6895.63,Female,1
Triceratops,2.19,14.99,8.48,7086.42,Female,3
TREX,1.48,15.83,10.74,7340.57,Female,1
TREX,1.48,16.94,10.72,5378.83,Female,1
Triceratops,2.19,16.53,7.8,7505.05,Female,3
Triceratops,2.0,20.31,6.82,7258.54,Male,3
Spinosaurus,1.3,13.14,13.55,9962.61,Male,2
TREX,1.47,23.18,11.14,7158.66,Female,1
Triceratops,2.03,13.23,9.17,6307.32,Female,3
Spinosaurus,1.52,15.59,13.1,9798.5,Male,2
Spinosaurus,1.39,12.91,14.51,9781.43,Female,2
TREX,1.51,26.2,9.49,6748.32,Male,1
TREX,1.49,20.0,11.35,6893.34,Female,1
TREX,1.3,22.76,10.31,5115.94,Male,1
Spinosaurus,1.49,15.91,12.33,9205.18,Female,2
TREX,1.41,24.83,11.31,6365.14,Male,1
Triceratops,1.98,17.7,9.15,6703.52,Female,3
Spinosaurus,1.46,13.35,12.19,8557.28,Male,2
TREX,1.34,19.31,10.26,6750.49,Male,1
Triceratops,1.92,24.63,8.15,6684.77,Male,3
Triceratops,2.13,17.92,9.24,7406.01,Male,3
Triceratops,2.08,24.01,6.99,6205.74,Female,3
TREX,1.65,22.5,11.38,6384.7,Male,1
Triceratops,1.85,16.46,7.04,6952.78,Female,3
Triceratops,1.94,15.27,7.48,7371.49,Male,3
TREX,1.49,20.01,10.23,6818.44,Female,1
Spinosaurus,1.59,12.04,13.18,8678.41,Male,2
Spinosaurus,1.48,16.41,13.31,8796.12,Male,2
Triceratops,1.89,22.1,9.06,6967.34,Male,3
Spinosaurus,1.62,14.73,13.28,9364.6,Female,2
Spinosaurus,1.49,15.33,12.21,8823.32,Female,2
Spinosaurus,1.51,15.98,12.61,9625.08,Male,2
TREX,1.33,20.22,10.84,6745.24,Female,1
TREX,1.69,16.3,10.85,6261.19,Male,1
Spinosaurus,1.25,9.06,12.61,10399.1,Male,2
Triceratops,2.05,20.49,7.39,6605.46,Male,3
TREX,1.42,23.29,11.96,7063.78,Female,1
Spinosaurus,1.56,13.06,14.87,10274.06,Male,2
Spinosaurus,1.51,15.88,12.69,9172.16,Female,2
Spinosaurus,1.49,14.51,14.45,8485.79,Female,2
Triceratops,2.06,19.67,9.08,6618.38,Male,3
Triceratops,2.06,20.3,7.0,7531.83,Female,3
TREX,1.57,18.31,10.1,6020.27,Male,1
TREX,1.34,22.62,8.29,6575.81,Male,1
TREX,1.52,19.85,11.82,6832.46,Male,1
Spinosaurus,1.5,19.97,13.36,8349.91,Female,2
Triceratops,1.93,18.96,8.48,7911.27,Male,3
Triceratops,1.98,17.37,7.88,7373.69,Female,3
Triceratops,1.86,20.87,7.58,7762.93,Female,3
TREX,1.49,19.02,11.68,5329.05,Male,1
Triceratops,1.77,22.53,7.96,7538.48,Female,3
Triceratops,2.08,17.06,8.4,7077.27,Female,3
Spinosaurus,1.5,18.09,11.38,8445.96,Male,2
TREX,1.65,21.81,12.02,6583.0,Male,1
Triceratops,2.11,20.8,8.78,7188.71,Male,3
TREX,1.45,23.16,12.29,7107.38,Male,1
Triceratops,1.9,18.0,8.85,7231.14,Male,3
Triceratops,1.86,18.92,7.29,7420.71,Male,3
TREX,1.52,21.87,11.66,7662.9,Male,1
Triceratops,1.85,17.59,8.1,7648.38,Female,3
Triceratops,2.09,12.45,8.36,8290.28,Female,3
Triceratops,2.01,18.48,8.01,8226.46,Male,3
TREX,1.49,14.22,11.54,6763.98,Female,1
TREX,1.45,21.69,10.66,5764.92,Female,1
Spinosaurus,1.21,17.34,12.81,10112.06,Female,2
Spinosaurus,1.64,18.97,13.57,8420.69,Male,2
TREX,1.64,26.26,11.22,6769.45,Female,1
TREX,1.56,21.08,10.64,7160.83,Male,1
Triceratops,1.98,16.84,9.37,8063.98,Female,3
TREX,1.47,20.17,12.7,6528.61,Female,1
Spinosaurus,1.43,16.44,12.23,7013.47,Male,2
TREX,1.43,21.94,11.9,5602.66,Female,1
TREX,1.6,16.18,13.29,7058.07,Male,1
Spinosaurus,1.54,14.48,12.54,8483.97,Female,2
Spinosaurus,1.47,12.95,11.82,9390.48,Female,2
Spinosaurus,1.46,15.96,14.65,9624.61,Female,2
TREX,1.73,17.82,11.87,5620.46,Female,1
TREX,1.47,16.05,10.36,6783.75,Female,1
Spinosaurus,1.69,14.25,13.21,7844.5,Male,2
Spinosaurus,1.54,16.4,12.33,10128.55,Female,2
Spinosaurus,1.59,12.23,13.32,8838.57,Female,2
Spinosaurus,1.51,10.33,11.86,10749.77,Female,2
Spinosaurus,1.59,15.92,12.51,7584.77,Male,2
Triceratops,1.97,13.48,8.09,7686.08,Male,3
Spinosaurus,1.46,12.29,12.92,7609.57,Female,2
Spinosaurus,1.41,15.25,13.47,9358.55,Male,2
TREX,1.48,17.03,10.98,7400.35,Male,1
Spinosaurus,1.38,12.64,13.56,8144.47,Female,2
Triceratops,2.08,19.67,8.65,7241.41,Female,3
TREX,1.57,20.95,9.04,7231.59,Female,1
TREX,1.56,23.79,10.82,5908.49,Female,1
Spinosaurus,1.4,15.04,12.52,9963.74,Male,2
TREX,1.6,17.11,9.77,6541.35,Female,1
Triceratops,1.92,19.01,8.13,7603.95,Male,3
TREX,1.49,19.87,10.61,6785.61,Female,1
TREX,1.48,19.22,10.98,6277.79,Male,1
TREX,1.41,20.72,10.54,7207.46,Female,1
Triceratops,2.02,16.56,8.56,7731.51,Male,3
TREX,1.55,18.95,11.51,6933.5,Female,1
TREX,1.64,18.78,10.8,5395.25,Female,1
TREX,1.29,19.19,11.86,7069.71,Female,1
TREX,1.44,11.26,11.52,5615.3,Female,1
TREX,1.55,22.67,13.92,5104.94,Female,1
TREX,1.49,18.4,11.45,6578.12,Male,1
TREX,1.48,17.43,12.09,5952.55,Male,1
Spinosaurus,1.52,14.8,12.07,9832.67,Male,2
Triceratops,1.99,15.53,7.51,7884.92,Male,3
TREX,1.38,18.43,13.78,7908.35,Female,1
Triceratops,1.92,17.97,9.94,7752.7,Female,3
Triceratops,1.96,18.61,9.09,7316.62,Female,3
Spinosaurus,1.4,13.46,12.85,7740.7,Male,2
TREX,1.3,23.02,11.09,7333.68,Male,1
Triceratops,2.14,16.74,6.74,7876.59,Male,3
TREX,1.61,22.68,10.66,7709.15,Female,1
Triceratops,2.14,21.01,7.99,7689.83,Male,3
TREX,1.38,13.95,10.47,6172.24,Male,1
TREX,1.36,18.23,10.73,5975.92,Male,1
Triceratops,2.06,14.88,8.02,8054.07,Female,3
Spinosaurus,1.34,14.94,13.92,9787.27,Female,2
TREX,1.69,16.72,11.14,7663.97,Female,1
Spinosaurus,1.22,15.51,11.88,8902.21,Male,2
Triceratops,2.07,15.82,8.47,7593.11,Male,3
Triceratops,2.05,14.13,8.45,6677.95,Male,3
TREX,1.44,21.46,9.95,6671.21,Female,1
TREX,1.69,17.22,12.25,7031.66,Female,1
TREX,1.69,21.47,10.06,6893.09,Female,1
TREX,1.76,20.44,9.96,7599.13,Male,1
Spinosaurus,1.47,15.89,11.14,7092.78,Male,2
Triceratops,2.01,21.21,6.93,8715.43,Male,3
Spinosaurus,1.58,16.23,13.13,8993.54,Female,2
Spinosaurus,1.5,15.34,12.49,10461.99,Male,2
TREX,1.44,12.89,11.55,5154.59,Male,1
TREX,1.2,23.54,12.14,5954.35,Male,1
Triceratops,1.97,15.18,8.73,8008.23,Male,3
TREX,1.48,24.14,8.75,7771.99,Female,1
Triceratops,1.9,17.33,7.24,7457.48,Female,3
TREX,1.51,18.65,10.79,7140.99,Male,1
TREX,1.65,15.31,9.15,4079.24,Female,1
Triceratops,2.22,15.84,7.65,7775.51,Male,3
TREX,1.45,18.35,11.32,6493.63,Male,1
Triceratops,1.87,17.54,8.58,6233.92,Male,3
Triceratops,2.02,19.53,5.12,6642.28,Male,3
TREX,1.68,22.45,12.15,6974.82,Female,1
Spinosaurus,1.27,19.96,12.26,7665.17,Male,2
TREX,1.55,19.82,10.77,7178.15,Female,1
Triceratops,2.1,19.03,8.82,7208.48,Male,3
Spinosaurus,1.29,14.56,13.44,8811.58,Female,2
TREX,1.5,21.34,13.5,7989.77,Female,1
Spinosaurus,1.43,14.69,13.45,10027.0,Male,2
TREX,1.52,22.33,10.33,6542.11,Female,1
Triceratops,2.13,15.22,7.61,6914.33,Male,3
TREX,1.34,24.4,12.53,7425.19,Female,1
TREX,1.54,21.77,9.46,6692.82,Female,1
Spinosaurus,1.52,13.41,12.77,8782.34,Female,2
TREX,1.46,20.97,9.76,6447.4,Female,1
Spinosaurus,1.32,19.3,13.05,9651.84,Female,2
Spinosaurus,1.4,14.16,13.41,7991.47,Female,2
Spinosaurus,1.52,14.54,13.2,8339.55,Male,2
TREX,1.54,24.05,10.98,6469.06,Female,1
TREX,1.37,17.68,11.97,7028.59,Female,1
Spinosaurus,1.47,16.13,13.92,8622.13,Male,2
TREX,1.56,16.28,10.11,7568.24,Male,1
TREX,1.44,20.81,11.12,7392.96,Female,1
Triceratops,2.12,18.25,6.59,7272.99,Female,3
Triceratops,2.03,17.83,8.07,7590.14,Male,3
TREX,1.43,20.62,10.96,6609.88,Female,1
TREX,1.5,24.05,11.02,5900.83,Male,1
Spinosaurus,1.65,14.78,12.52,7790.68,Female,2
Triceratops,1.98,17.18,7.92,7245.55,Female,3
Spinosaurus,1.45,18.12,13.28,8827.97,Male,2
Triceratops,2.23,18.58,6.88,8177.33,Female,3
TREX,1.5,18.64,11.9,6807.15,Female,1
TREX,1.4,22.98,11.93,6632.17,Female,1
Spinosaurus,1.54,14.22,14.59,7528.79,Female,2
TREX,1.45,20.57,12.73,6825.11,Male,1
TREX,1.5,18.17,11.15,6648.23,Male,1
Triceratops,2.05,23.75,8.87,8481.94,Male,3
Triceratops,2.04,21.53,7.08,7740.09,Female,3
TREX,1.47,17.15,13.12,5533.48,Male,1
Triceratops,1.91,19.11,8.73,8286.92,Female,3
Triceratops,1.94,17.56,6.74,6991.83,Female,3
TREX,1.48,16.45,12.1,5968.14,Female,1
Triceratops,1.9,15.74,7.11,7270.55,Female,3
TREX,1.4,22.84,10.47,7462.63,Male,1
Spinosaurus,1.39,13.16,13.51,11753.23,Female,2
Triceratops,2.05,18.79,6.77,6455.07,Female,3
Spinosaurus,1.43,13.64,12.23,8265.68,Female,2
Triceratops,2.09,16.46,6.92,7894.88,Female,3
Spinosaurus,1.45,12.1,12.54,9051.08,Male,2
TREX,1.44,18.73,10.6,5812.37,Male,1
TREX,1.38,16.72,11.63,7200.01,Female,1
TREX,1.46,18.55,11.37,7041.86,Female,1
TREX,1.66,22.99,11.82,5252.1,Male,1
TREX,1.55,22.75,10.24,7747.48,Male,1
TREX,1.53,19.4,10.21,7672.67,Female,1
Triceratops,1.98,16.37,7.69,8047.06,Female,3
TREX,1.53,15.24,11.73,6839.47,Male,1
Spinosaurus,1.55,16.04,13.56,8480.61,Female,2
TREX,1.54,18.66,11.3,6337.14,Male,1
TREX,1.5,23.82,10.9,7030.47,Female,1
TREX,1.35,19.29,12.06,5847.04,Female,1
TREX,1.54,19.69,11.5,6936.04,Male,1
TREX,1.43,20.84,12.35,6626.29,Female,1
Spinosaurus,1.42,17.97,12.08,9751.28,Male,2
Triceratops,2.06,15.66,8.89,5991.25,Female,3
Triceratops,2.03,17.29,9.47,5815.61,Male,3
Triceratops,2.09,21.04,7.5,7898.32,Female,3
Spinosaurus,1.41,14.55,14.19,9061.34,Female,2
Triceratops,1.92,15.94,8.36,6744.44,Male,3
Spinosaurus,1.45,12.33,12.72,8796.7,Male,2
Spinosaurus,1.5,16.82,11.11,7757.38,Male,2
Triceratops,2.0,16.43,6.26,7987.36,Female,3
Spinosaurus,1.63,19.31,12.59,9044.82,Male,2
TREX,1.48,15.37,11.24,5830.92,Female,1
Triceratops,1.98,19.51,7.27,7673.93,Male,3
Spinosaurus,1.62,12.34,12.29,8328.62,Female,2
Spinosaurus,1.5,9.64,13.86,8711.97,Male,2
TREX,1.6,16.19,12.71,6498.59,Male,1
Spinosaurus,1.65,18.71,12.83,10015.86,Female,2
Spinosaurus,1.34,17.69,14.0,7456.37,Female,2
TREX,1.56,18.26,9.49,6402.43,Male,1
TREX,1.44,22.28,9.66,5909.34,Male,1
Spinosaurus,1.64,13.01,11.66,8225.97,Male,2
TREX,1.59,24.83,11.03,6904.65,Male,1
Triceratops,1.9,17.47,8.42,9243.87,Male,3
TREX,1.59,22.56,11.84,7030.61,Male,1
Triceratops,1.83,15.82,8.76,7513.88,Female,3
Triceratops,2.02,23.09,6.95,6797.25,Female,3
TREX,1.39,23.99,11.93,7195.5,Male,1
Spinosaurus,1.56,16.47,14.47,7821.06,Female,2
TREX,1.65,24.85,11.48,6395.07,Male,1
TREX,1.45,20.86,10.23,6884.08,Male,1
Triceratops,1.86,17.48,8.21,8173.55,Female,3
Spinosaurus,1.69,17.65,13.82,6840.73,Male,2
Triceratops,2.09,21.6,8.11,8004.11,Male,3
Triceratops,1.88,19.08,7.97,6459.98,Male,3
Spinosaurus,1.65,16.65,12.76,8059.06,Male,2
Spinosaurus,1.61,17.61,11.49,6956.46,Male,2
TREX,1.26,13.68,11.62,5513.92,Female,1
TREX,1.46,21.86,11.5,6243.63,Female,1
Triceratops,2.06,14.54,9.46,7187.64,Male,3
TREX,1.63,22.78,12.67,5719.21,Female,1
TREX,1.58,21.87,13.02,5691.33,Male,1
TREX,1.61,17.8,11.62,8281.11,Female,1
Spinosaurus,1.37,15.23,12.28,8932.88,Male,2
Spinosaurus,1.27,15.3,11.76,9555.99,Male,2
TREX,1.51,20.14,10.06,7926.6,Male,1
Triceratops,1.94,18.78,7.03,7854.47,Female,3
TREX,1.34,22.87,11.82,6876.72,Male,1
Triceratops,1.75,22.15,9.2,7282.46,Male,3
TREX,1.48,17.57,11.59,6776.54,Male,1
TREX,1.44,20.76,11.67,7181.35,Female,1
TREX,1.42,19.81,11.34,6360.39,Female,1
Triceratops,2.1,15.51,7.07,7756.78,Female,3
TREX,1.67,17.5,11.97,5752.48,Female,1
TREX,1.56,25.09,10.19,6074.71,Male,1
Triceratops,1.96,18.66,7.82,7766.58,Female,3
Triceratops,1.94,20.75,7.04,8002.94,Female,3
Triceratops,2.13,17.35,7.49,8034.46,Male,3
TREX,1.38,22.99,12.2,6383.34,Male,1
Spinosaurus,1.45,12.14,13.72,8597.33,Female,2
Spinosaurus,1.5,14.29,11.69,7821.87,Male,2
TREX,1.47,19.67,10.24,5533.78,Female,1
TREX,1.57,20.38,8.1,5405.83,Male,1
TREX,1.64,19.33,10.64,5773.68,Female,1
Spinosaurus,1.46,18.42,12.33,7648.93,Male,2
Spinosaurus,1.44,13.32,13.21,9306.62,Male,2
TREX,1.45,21.07,10.59,6368.28,Male,1
Triceratops,1.94,18.76,8.18,6879.98,Male,3
Spinosaurus,1.54,16.66,12.29,8929.53,Male,2
TREX,1.51,19.97,11.77,5693.32,Female,1
Triceratops,1.99,18.68,8.51,7533.61,Female,3
Spinosaurus,1.45,13.13,11.91,7457.81,Female,2
Spinosaurus,1.65,13.02,14.19,9793.94,Male,2
TREX,1.46,21.35,12.44,8488.83,Female,1
Spinosaurus,1.39,15.3,12.07,8120.85,Male,2
TREX,1.37,20.58,11.45,7450.27,Male,1
Triceratops,2.16,19.67,7.28,7390.92,Male,3
Spinosaurus,1.7,13.8,13.0,9936.51,Male,2
TREX,1.46,20.96,11.69,6663.22,Female,1
Triceratops,2.1,17.11,9.59,8167.63,Female,3
TREX,1.65,17.78,10.83,6924.31,Male,1
TREX,1.45,17.6,11.08,6877.46,Female,1
Spinosaurus,1.45,17.15,14.54,7952.82,Female,2
TREX,1.4,19.84,11.2,7273.75,Male,1
Spinosaurus,1.48,21.57,12.14,10187.59,Male,2
Spinosaurus,1.52,15.9,13.89,9677.15,Male,2
TREX,1.38,25.11,10.99,7415.92,Female,1
Spinosaurus,1.56,14.14,13.55,8263.93,Male,2
TREX,1.47,20.64,9.87,7228.36,Male,1
TREX,1.39,20.59,11.39,7275.73,Male,1
Triceratops,2.1,22.76,8.51,7583.57,Male,3
TREX,1.44,14.99,11.02,6478.29,Male,1
TREX,1.45,25.0,11.86,6049.07,Female,1
TREX,1.5,24.6,11.46,7059.83,Male,1
Spinosaurus,1.61,13.19,14.8,9141.71,Female,2
TREX,1.67,20.12,10.34,5988.06,Male,1
Spinosaurus,1.52,14.83,13.85,10132.29,Male,2
TREX,1.52,23.55,11.09,7036.06,Female,1
Triceratops,2.01,19.35,7.4,9311.21,Female,3
Triceratops,2.2,16.05,6.04,7453.4,Female,3
TREX,1.56,22.63,13.1,4539.8,Female,1
Spinosaurus,1.47,15.27,13.56,9206.51,Female,2
Triceratops,1.98,17.14,6.75,7423.6,Male,3
Triceratops,1.93,15.63,7.4,6529.53,Male,3
Spinosaurus,1.37,16.57,13.01,8850.32,Male,2
Spinosaurus,1.31,17.56,11.45,9881.7,Male,2
Triceratops,2.09,19.43,8.83,6046.37,Female,3
TREX,1.56,17.97,8.91,6287.35,Male,1
Triceratops,1.93,22.55,8.61,7628.26,Female,3
Triceratops,1.93,15.64,7.18,7603.32,Female,3
TREX,1.55,21.38,9.87,7931.79,Male,1
TREX,1.47,19.29,12.4,7406.17,Male,1
TREX,1.49,15.37,10.18,7052.83,Female,1
TREX,1.6,24.36,13.94,6013.15,Male,1
Spinosaurus,1.69,15.39,13.96,8059.02,Female,2
TREX,1.35,15.9,10.63,6141.66,Female,1
TREX,1.51,16.57,10.62,6552.79,Female,1
TREX,1.48,21.66,10.23,6597.15,Female,1
Spinosaurus,1.5,15.1,12.16,8370.18,Male,2
TREX,1.63,25.28,13.7,6151.18,Female,1
TREX,1.51,14.28,10.34,5846.87,Female,1
Spinosaurus,1.33,19.14,13.6,7791.81,Male,2
Spinosaurus,1.44,15.21,12.15,8583.1,Male,2
TREX,1.51,21.87,10.15,6911.43,Male,1
TREX,1.45,21.08,10.64,7938.12,Male,1
Spinosaurus,1.56,10.55,11.64,8886.83,Male,2
Spinosaurus,1.4,17.72,13.22,9581.37,Female,2
Triceratops,1.91,20.58,8.65,7580.7,Female,3
Spinosaurus,1.48,14.3,11.3,8136.4,Female,2
TREX,1.59,13.75,13.5,7766.66,Female,1
TREX,1.36,13.74,12.27,7022.65,Female,1
Spinosaurus,1.58,15.91,12.65,9801.64,Female,2
TREX,1.43,23.69,12.81,7679.92,Female,1
Triceratops,1.92,17.03,8.81,8295.62,Male,3
Triceratops,1.91,17.34,8.2,7568.1,Male,3
Spinosaurus,1.47,14.84,13.2,8687.87,Male,2
TREX,1.52,18.75,10.86,6604.47,Male,1
Spinosaurus,1.6,13.07,13.31,7821.56,Male,2
Triceratops,1.84,23.02,8.95,7495.98,Male,3
Triceratops,1.97,19.62,8.73,7671.27,Male,3
TREX,1.6,22.26,9.85,6197.86,Female,1
Spinosaurus,1.49,16.73,13.72,8956.45,Male,2
Spinosaurus,1.47,17.11,11.51,9034.77,Male,2
Spinosaurus,1.56,16.81,13.01,8823.1,Female,2
Spinosaurus,1.63,15.48,11.09,8414.55,Female,2
TREX,1.53,13.34,13.04,6426.86,Female,1
Triceratops,2.14,18.36,6.48,6851.43,Male,3
TREX,1.56,22.79,10.37,6296.21,Male,1
TREX,1.55,19.36,12.94,5883.37,Male,1
TREX,1.42,18.71,11.26,5812.36,Female,1
Spinosaurus,1.43,15.75,13.19,9216.79,Female,2
Spinosaurus,1.49,13.88,12.25,9225.84,Male,2
TREX,1.49,18.82,10.94,6400.76,Female,1
Triceratops,1.99,18.08,8.15,6486.77,Male,3
TREX,1.65,19.39,12.32,6332.03,Male,1
Spinosaurus,1.45,18.48,11.02,8861.43,Male,2
Triceratops,2.09,18.13,6.61,8051.86,Male,3
Triceratops,1.94,16.86,9.74,7163.33,Female,3
Triceratops,2.14,21.54,7.6,8194.65,Female,3
Spinosaurus,1.55,15.08,12.89,9913.07,Female,2
TREX,1.67,21.93,10.23,7279.34,Female,1
TREX,1.66,19.63,11.97,6154.18,Female,1
Spinosaurus,1.4,16.88,13.42,10498.96,Male,2
Triceratops,2.15,18.28,9.61,7662.41,Male,3
Triceratops,2.04,23.38,7.69,7959.17,Male,3
TREX,1.67,20.47,10.81,6657.29,Male,1
Triceratops,1.97,19.19,8.02,9006.39,Female,3
Triceratops,1.99,16.74,7.07,7408.9,Male,3
TREX,1.64,19.89,10.14,6381.83,Male,1
TREX,1.57,22.77,9.62,6965.76,Female,1
Triceratops,1.97,17.69,7.12,8541.21,Female,3
Triceratops,1.93,16.74,6.43,8734.22,Female,3
Triceratops,2.13,18.67,7.86,7704.21,Male,3
Spinosaurus,1.49,14.2,13.99,9998.3,Female,2
TREX,1.68,20.65,11.15,5891.15,Female,1
TREX,1.39,21.57,10.66,6808.01,Female,1
TREX,1.46,21.44,11.08,5941.99,Male,1
Triceratops,1.9,17.98,7.77,8413.22,Female,3
Spinosaurus,1.46,12.27,12.73,8583.21,Female,2
Spinosaurus,1.37,15.03,12.39,8607.16,Female,2
TREX,1.4,13.43,9.58,6007.77,Female,1
Spinosaurus,1.53,15.7,11.2,8693.17,Male,2
Triceratops,2.11,20.54,8.45,6772.4,Male,3
